Zip,Median Total,Median  Owner occupied,Median  Renter occupied
92250,58944.6,45745,25486
92251,80811.12000000001,60946,26492
92252,40077.96,28481,18517
92253,86484.84,59515,31733
92254,37532.04,29036,18544
92256,48673.560000000005,33849,26833
92257,36488.4,25215,17326
92258,44333.64,25357,29856
92259,41368.08,30833,13542
92260,67549.56,51419,29232
92262,50645.4,44893,21963
92264,59824.44,47369,28787
92266,20908.68,17045,10156
92267,80193.36,"2,500-",55208
92268,66733.68000000001,42778,0
92270,95152.2,71516,28693
92273,49319.4,35903,22045
92274,37221.6,28556,21327
92275,37274.64,25337,6750
92276,51172.68,33535,21645
92277,46163.520000000004,36670,25367
92278,47383.44,50000,30188
92280,10725.0,28750,6250
92281,37870.56,35733,16118
92282,49374.0,39821,25083
92283,31753.8,21906,16667
92284,46374.12,32660,20635
92285,34666.32,24179,11250
922HH,0.0,0,0
922XX,31850.52,13958,23750
92301,49269.48,40808,18438
92304,198600.48,0,127308
92305,102916.32,73529,23906
92307,64853.880000000005,51026,23294
92308,56356.560000000005,42738,23783
92309,42168.36,28229,25469
92310,53220.96,62917,33498
92311,58635.72,46740,26236
92313,86277.36,64596,42643
92314,57236.4,41103,28147
92315,53926.08,44447,24107
92316,58234.8,41444,25072
92317,103410.84,71033,38295
92318,60170.76,41250,21250
92320,59075.64,38606,33214
92321,111930.0,83395,32500
92323,26813.280000000002,17188,0
92324,55320.72,45400,25846
92325,72103.2,51975,34954
92327,48555.0,40179,18750
92328,71972.16,21750,55893
92332,57720.0,39792,26750
92333,54843.36,46875,21917
92335,54245.880000000005,43678,24836
92336,86302.32,60889,28813
92337,82346.16,60228,31899
92338,83199.48,53750,48750
92339,71861.40000000001,60446,26250
92341,38720.76,34821,9167
92342,74978.28,49940,33977
92345,64711.920000000006,47660,26159
92346,71568.12,55325,25477
92347,45973.200000000004,36964,17361
92352,95145.96,65544,37424
92354,61103.64,57264,29268
92356,44850.0,33053,16083
92358,65413.920000000006,46350,36750
92359,63919.44,55102,24902
92363,39650.520000000004,35042,18225
92364,47775.0,28750,31667
92365,47789.04,35303,18750
92368,38025.0,32750,18750
92371,68742.96,46720,27963
92372,56091.36,43047,25152
92373,76446.24,74690,32582
92374,70898.88,57700,30509
92376,56964.96,44399,24086
92377,89383.32,59519,39375
92382,73125.0,51765,36891
92384,94575.0,56875,65938
92386,48316.32,41188,17882
92389,19890.0,11250,13958
92392,58804.200000000004,45468,25243
92394,58679.4,45439,22235
92397,77595.96,51335,40759
92398,38700.48,40598,13542
92399,60822.840000000004,46274,26826
923HH,0.0,0,0
923XX,48555.0,31000,31250
92401,19397.04,19833,10921
92404,48051.12,45977,19217
92405,47140.08,41718,17804
92407,62488.920000000006,53074,27515
92408,35139.0,34555,17672
92410,35906.520000000004,33051,16990
92411,37165.44,33341,16436
92501,50065.08,49531,22563
92503,69911.40000000001,56723,27485
92504,63080.16,52464,26815
92505,64660.44,54298,31971
92506,97593.6,72349,31637
92507,47433.36,53183,20542
92508,107973.84,71596,39833
92509,70671.12,52429,26304
92518,104081.64,64792,66758
92530,61832.16,49219,26496
92532,92083.68000000001,61604,34750
92536,56695.08,43285,28810
92539,47748.48,35042,21475
92543,36816.0,26743,20009
92544,57715.32,42770,23250
92545,48441.12,32858,25324
92548,34990.8,23125,21000
92549,56735.64,46458,23846
92551,78352.56,53643,28315
92553,60746.4,48747,24351
92555,96759.0,64311,47689
92557,85048.08,60967,34862
92561,68343.6,52917,33393
92562,96208.32,69278,32763
92563,81134.04000000001,57125,35842
92567,77132.64,53329,40972
92570,50542.44,38420,19890
92571,61386.0,44772,25172
92582,51079.08,34583,26971
92583,46129.200000000004,35688,17605
92584,82703.40000000001,54375,38864
92585,57091.32,41844,22703
92586,45798.48,30715,22578
92587,90813.84,64658,41667
92590,42800.16,106387,18580
92591,91977.6,68013,40449
92592,104006.76000000001,71739,39858
92595,77368.2,51959,29181
92596,79194.96,57457,24939
925HH,0.0,0,0
925XX,0.0,0,0
92602,174748.08000000002,111071,136989
92604,111349.68000000001,85757,51662
92606,107900.52,92229,50935
92610,138914.88,97995,57073
92612,93526.68000000001,95356,35361
92614,120037.32,87601,61553
92618,83681.52,57586,49410
92620,132125.76,95726,51128
92624,95721.6,74650,49032
92625,155293.32,115170,75077
92626,89550.24,72072,47018
92627,71984.64,61462,40214
92629,100042.8,81395,47517
92630,107396.64,78497,47066
92646,108599.40000000001,76100,54927
92647,89845.08,72824,45718
92648,97698.12000000001,92166,44473
92649,109689.84,82880,55484
92651,116985.96,99050,51134
92653,72360.6,50867,36368
92655,65930.28,59031,24356
92656,116330.76000000001,84782,56756
92657,179055.24000000002,139975,93455
92660,153427.56,118553,71329
92661,103488.84,96493,53667
92662,118176.24,101845,56518
92663,104627.64,86025,56325
92672,88536.24,73199,42639
92673,144115.92,96549,51406
92675,98460.96,71078,45201
92676,119430.48000000001,92290,52143
92677,124082.40000000001,93762,52050
92679,174922.80000000002,115920,70613
92683,77205.96,63322,32210
92688,115589.76000000001,85798,46152
92691,117014.04000000001,80657,49313
92692,127985.52,91146,47340
92694,165918.48,106358,0
926HH,0.0,0,0
926XX,0.0,0,0
92701,52121.16,49178,28886
92703,62602.8,49352,31168
92704,76759.8,56630,39730
92705,97440.72,87232,37094
92706,70404.36,64524,30145
92707,75748.92,59147,37041
92708,108017.52,78312,48282
92780,75248.16,64867,39342
92782,133656.12,101756,64318
927HH,0.0,0,0
92801,62025.6,51909,33523
92802,63810.240000000005,60603,32309
92804,64506.0,60726,31404
92805,61640.28,55227,32132
92806,79868.88,67959,38288
92807,117843.96,84871,42306
92808,136744.92,91953,63561
92821,91498.68000000001,72436,41858
92823,98056.92,63523,38611
92831,69803.76000000001,72259,34619
92832,67251.6,60741,34094
92833,78229.32,64202,32410
92835,104608.92,80130,44908
92840,72987.72,55402,35817
92841,72694.44,59434,32244
92843,66326.52,55202,31072
92844,65551.2,56157,32150
92845,102799.32,72961,43563
92860,98389.2,69657,41667
92861,186719.52000000002,123641,67813
92865,86807.76000000001,64489,41969
92866,69306.12,61436,37566
92867,97534.32,78193,40159
92868,69697.68000000001,56884,38739
92869,116399.40000000001,82335,49033
92870,97295.64,75423,41929
92879,82506.84,64482,40334
92880,103409.28,74560,38519
92881,111876.96,79477,37969
92882,88085.40000000001,68822,36104
92883,107028.48000000001,70543,39453
92886,128188.32,87429,52946
92887,159143.4,111323,52237
928HH,0.0,0,0
928XX,0.0,0,0
93001,66034.8,54791,34143
93003,85219.68000000001,64308,42212
93004,92760.72,70791,34984
93010,98991.36,75784,41954
93012,107195.40000000001,73682,49500
93013,80004.6,62736,40315
93015,70256.16,54645,31825
93021,120018.6,83679,47461
93022,94575.0,68115,40682
93023,79687.92,59190,36784
93030,71153.16,62475,30818
93033,70936.32,55355,34005
93035,91840.32,67279,45855
93040,62120.76,40375,39559
93041,64387.44,50721,32841
93060,65599.56,53976,29721
93063,104824.2,73959,45704
93065,112795.8,80527,50014
93066,99000.72,86990,40045
93067,58716.840000000004,49531,36711
930HH,0.0,0,0
930XX,21450.0,13750,0
93101,58782.36,63495,32121
93103,74029.8,66994,38007
93105,89949.6,77165,42416
93108,158374.32,117322,55048
93109,87750.0,66973,40673
93110,81087.24,61910,37953
93111,106039.44,77701,46596
93117,63668.28,68966,25039
931HH,0.0,0,0
931XX,0.0,0,0
93201,38708.28,28125,19375
93202,54071.16,37415,24861
93203,39218.4,31439,18919
93204,44995.08,35802,21607
93205,33345.0,22462,17083
93206,41753.4,31696,23092
93207,34745.880000000005,23333,20833
93208,57200.520000000004,39375,26250
93210,55696.68,48141,23449
93212,43828.200000000004,36047,20625
93215,42658.200000000004,34949,18346
93216,0.0,0,0
93218,54043.08,36125,27083
93219,34722.48,27161,17031
93221,57627.96,45378,24161
93222,70719.48,49821,40125
93223,43010.76,32135,18664
